# ShopStop Audit Log – CS 432 Assignment 2 Module B
# Format: [timestamp] user=X role=Y action=Z table=T id=ID status=S
# This file is auto-populated by the Flask API on every data-modifying call.
# Direct DB modifications will NOT appear here – they are detectable as unauthorised.
[2026-03-21 13:38:14] user=rajesh role=user action=LOGIN table=- id=- status=SUCCESS
[2026-03-21 19:44:36] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-21 19:45:34] user=admin role=admin action=LOGOUT table=- id=- status=SUCCESS
[2026-03-21 19:45:44] user=rajesh role=user action=LOGIN table=- id=- status=SUCCESS
[2026-03-21 19:47:12] user=rajesh role=user action=CHECKOUT table=Sale id=SAL021 status=SUCCESS
[2026-03-21 19:48:01] user=rajesh role=user action=CHECKOUT table=Sale id=SAL022 status=SUCCESS
[2026-03-21 19:48:13] user=rajesh role=user action=LOGOUT table=- id=- status=SUCCESS
[2026-03-21 19:48:20] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-21 21:39:57] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-21 21:40:25] user=admin role=admin action=LOGOUT table=- id=- status=SUCCESS
[2026-03-21 21:40:32] user=rajesh role=user action=LOGIN table=- id=- status=SUCCESS
[2026-03-21 21:41:01] user=rajesh role=user action=ONLINE_CHECKOUT table=Sale id=SAL023 status=SUCCESS
[2026-03-21 21:41:05] user=rajesh role=user action=LOGOUT table=- id=- status=SUCCESS
[2026-03-21 21:41:12] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-21 21:41:34] user=admin role=admin action=LOGOUT table=- id=- status=SUCCESS
[2026-03-21 21:41:41] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-22 00:33:49] user=system role=system action=INIT_PASSWORDS table=- id=- status=SUCCESS
[2026-03-22 00:34:07] user=admin role=admin action=LOGIN table=- id=- status=SUCCESS
[2026-03-22 00:34:21] user=admin role=admin action=LOGOUT table=- id=- status=SUCCESS
[2026-03-22 00:34:29] user=rajesh role=user action=LOGIN table=- id=- status=SUCCESS
